EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211854467, 134.745481, 18.079552, 17.869, GO16012_LC|GO16018_LC|GO16067_LC
211869078, 135.680443, 18.280912, 18.486, GO16005_LC|GO16012_LC|GO16018_LC
211869873, 132.817816, 18.291731, 18.112, GO16012_LC|GO16018_LC|GO16067_LC
211877519, 134.487358, 18.401028, 17.957, GO16012_LC|GO16018_LC
211877657, 130.123962, 18.40255, 12.673, GO16005_LC|GO16012_LC|GO16018_LC|GO16030_LC|GO16052_LC|GO16063_LC
211892842, 130.530514, 18.621372, 17.886, GO16012_LC|GO16018_LC|GO16060_LC
211908843, 133.389635, 18.858454, 17.896, GO16012_LC|GO16018_LC
211912744, 138.720195, 18.916422, 16.526, GO16012_LC|GO16018_LC
211916047, 134.455912, 18.966202, 17.764, GO16012_LC|GO16018_LC
211917847, 132.932852, 18.992962, 17.687, GO16012_LC|GO16018_LC
211928727, 130.289617, 19.155697, 18.699, GO16012_LC|GO16018_LC|GO16031_LC
211934172, 130.245439, 19.237984, 18.705, GO16012_LC|GO16018_LC|GO16022_LC|GO16060_LC
211947924, 134.020133, 19.442053, 18.903, GO16012_LC|GO16018_LC
211964067, 133.569301, 19.687393, 17.446, GO16012_LC|GO16018_LC|GO16060_LC
211969262, 131.797552, 19.765329, 18.392, GO16012_LC|GO16018_LC
211996000, 135.762983, 20.188625, 17.766, GO16012_LC|GO16018_LC
212002661, 127.225454, 20.298323, 18.013, GO16012_LC|GO16018_LC|GO16060_LC
212008870, 127.785041, 20.401182, 17.474, GO16012_LC|GO16018_LC
212013999, 134.32405, 20.486818, 18.312, GO16012_LC|GO16018_LC
212015599, 128.871665, 20.513857, 18.138, GO16005_LC|GO16012_LC|GO16018_LC
212017281, 128.008202, 20.541706, 18.164, GO16012_LC|GO16018_LC
212019105, 126.540474, 20.570967, 16.892, GO16012_LC|GO16018_LC
212021699, 127.868424, 20.615244, 17.885, GO16012_LC|GO16018_LC
212022056, 126.938609, 20.621183, 17.426, GO16012_LC|GO16018_LC
212022763, 126.620861, 20.632746, 18.203, GO16012_LC|GO16018_LC
212027121, 127.989263, 20.705931, 17.847, GO16012_LC|GO16018_LC
212028433, 127.31235, 20.728119, 18.205, GO16012_LC|GO16018_LC
212032430, 135.958587, 20.795139, 19.054, GO16012_LC|GO16018_LC
212044515, 128.222709, 21.003181, 17.946, GO16012_LC|GO16018_LC|GO16067_LC
212051014, 127.470823, 21.11754, 18.684, GO16012_LC|GO16018_LC|GO16067_LC
212059071, 126.643396, 21.258726, 17.839, GO16012_LC|GO16018_LC
212066577, 136.765193, 21.393881, 17.673, GO16012_LC|GO16018_LC
212067906, 126.857699, 21.417727, 18.815, GO16012_LC|GO16018_LC
212067916, 128.90187, 21.417801, 18.099, GO16012_LC|GO16018_LC|GO16067_LC
212072712, 127.007957, 21.505678, 17.897, GO16012_LC|GO16018_LC
212075399, 133.145402, 21.555073, 17.342, GO16012_LC|GO16018_LC
212077206, 133.948754, 21.588945, 16.608, GO16012_LC|GO16018_LC
212078253, 134.920836, 21.607233, 18.188, GO16012_LC|GO16018_LC
212080001, 128.490226, 21.641556, 17.6, GO16012_LC|GO16018_LC|GO16067_LC
212081772, 137.683159, 21.67293, 18.031, GO16012_LC|GO16018_LC
212083796, 128.843313, 21.711617, 17.726, GO16012_LC|GO16018_LC|GO16067_LC
212089454, 128.58998, 21.816275, 18.135, GO16012_LC|GO16018_LC|GO16067_LC
212090371, 135.097968, 21.834477, 11.981, GO16005_LC|GO16018_LC|GO16030_LC|GO16052_LC|GO16056_LC|GO16063_LC|GO16072_LC|GO16072_SC
212098179, 137.371309, 21.985786, 18.084, GO16012_LC|GO16018_LC
212102189, 127.613506, 22.062668, 17.133, GO16012_LC|GO16018_LC
212106355, 136.281481, 22.146194, 18.038, GO16012_LC|GO16018_LC
212111539, 135.042086, 22.249088, 18.0, GO16012_LC|GO16018_LC
212111554, 134.522912, 22.249502, 16.67, GO16012_LC|GO16018_LC
212117165, 136.544114, 22.360041, 18.211, GO16012_LC|GO16018_LC
212117236, 128.617605, 22.3615, 17.953, GO16012_LC|GO16018_LC
212119590, 128.939067, 22.408632, 17.211, GO16012_LC|GO16018_LC|GO16067_LC
212127137, 133.496552, 22.560087, 17.818, GO16012_LC|GO16018_LC
212130922, 127.505853, 22.636833, 18.613, GO16012_LC|GO16018_LC
212155930, 132.643829, 23.163855, 17.985, GO16012_LC|GO16018_LC
212156288, 134.43698, 23.171358, 17.758, GO16012_LC|GO16018_LC
212158934, 130.157506, 23.230766, 17.689, GO16012_LC|GO16018_LC
212162176, 133.609702, 23.30221, 18.96, GO16012_LC|GO16018_LC
212162487, 129.868619, 23.310183, 18.09, GO16012_LC|GO16018_LC
212170651, 129.774803, 23.502945, 18.857, GO16012_LC|GO16018_LC
212175383, 134.832724, 23.617702, 16.492, GO16018_LC
212183917, 133.13587, 23.842665, 18.268, GO16012_LC|GO16018_LC
212183961, 133.382993, 23.843685, 17.101, GO16012_LC|GO16018_LC|GO16067_LC
212184948, 132.894454, 23.870983, 16.939, GO16012_LC|GO16018_LC|GO16067_LC
212196866, 133.069497, 24.195242, 18.259, GO16012_LC|GO16018_LC|GO16067_LC
212216110, 129.872439, 24.807875, 17.034, GO16012_LC|GO16018_LC|GO16067_LC
251287438, 139.600382, 15.242834, 16.627, GO16012_LC|GO16018_LC
251314012, 140.822831, 17.996485, 18.907, GO16012_LC|GO16018_LC
251317744, 139.340166, 18.324823, 18.912, GO16012_LC|GO16018_LC
251340486, 139.44123, 20.293373, 17.874, GO16012_LC|GO16018_LC
251347715, 141.079466, 20.886778, 18.238, GO16012_LC|GO16018_LC
251355936, 139.658989, 21.568283, 17.133, GO16012_LC|GO16018_LC
251357067, 139.062698, 21.664244, 14.55, GO16012_LC|GO16018_LC|GO16067_LC|GO16018_SC
251358654, 140.489818, 21.806606, 17.816, GO16012_LC|GO16018_LC
251359579, 139.845627, 21.88203, 18.511, GO16012_LC|GO16018_LC
